i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.01464,-0.00976,0.00488,-0.00244,-0.00976,0.0122,0.00976,0.08784,0.09272,0.06832,0.0244,0.02928
0.01952,-0.01464,0.00976,0,-0.00976,0.01464,0.00488,0.09272,0.10248,0.0732,0.02928,0.02928
0.0244,-0.02196,0.01952,0.00732,-0.00488,0.01464,0.00488,0.10248,0.10736,0.07808,0.03416,0.02928
0.0244,-0.02684,0.02928,0.01708,0.00488,0.00976,0.00488,0.11224,0.11712,0.08784,0.03416,0.03416
0.03416,-0.0366,0.03904,0.02196,0.00488,0.01464,0.00488,0.122,0.12688,0.09272,0.03904,0.04392
0.03904,-0.0366,0.03416,0.01464,-0.00488,0.02196,0.00488,0.12688,0.13664,0.0976,0.0488,0.04392
0.03904,-0.03904,0.03904,0.01952,0,0.01952,0.00488,0.13664,0.1464,0.10736,0.05368,0.0488
0.04392,-0.04636,0.0488,0.02684,0.00488,0.01952,0,0.15128,0.15616,0.11712,0.06832,0.05856
0.0488,-0.05368,0.05856,0.03416,0.00976,0.01952,0,0.16104,0.1708,0.12688,0.08296,0.07808
0.05856,-0.05856,0.05856,0.02928,0,0.02928,0,0.1708,0.18056,0.14152,0.08784,0.08296
0.05856,-0.06588,0.0732,0.04392,0.01464,0.02196,-0.00488,0.18056,0.19032,0.1464,0.0976,0.08784
0.06344,-0.07808,0.09272,0.061,0.02928,0.01708,-0.00488,0.19032,0.20496,0.16104,0.10736,0.0976
0.0732,-0.0854,0.0976,0.061,0.0244,0.0244,-0.00976,0.20008,0.21472,0.1708,0.11712,0.10736
0.0732,-0.09272,0.11224,0.07564,0.03904,0.01708,-0.01464,0.20496,0.2196,0.18056,0.12688,0.11224
0.0732,-0.0976,0.122,0.0854,0.0488,0.0122,-0.01464,0.20496,0.22448,0.19032,0.13176,0.122
0.07808,-0.10492,0.13176,0.09272,0.05368,0.0122,-0.01464,0.2196,0.23424,0.1952,0.14152,0.13176
