i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.01464,0.04148,-0.0976,-0.10492,-0.11224,0.06344,-0.0244,-0.05368,-0.09272,-0.10248,-0.10248,-0.09272
0.01464,0.04148,-0.0976,-0.10492,-0.11224,0.06344,-0.0244,-0.05368,-0.09272,-0.0976,-0.10248,-0.09272
0.01952,0.03904,-0.0976,-0.10736,-0.11712,0.06832,-0.0244,-0.05368,-0.09272,-0.0976,-0.0976,-0.08784
0.01952,0.03904,-0.0976,-0.10736,-0.11712,0.06832,-0.0244,-0.05368,-0.09272,-0.0976,-0.0976,-0.08784
0.01952,0.03904,-0.0976,-0.10736,-0.11712,0.06832,-0.01952,-0.0488,-0.08784,-0.0976,-0.09272,-0.09272
0.01952,0.03904,-0.0976,-0.10736,-0.11712,0.06832,-0.01952,-0.03904,-0.08784,-0.09272,-0.08296,-0.09272
0.01464,0.04148,-0.0976,-0.10492,-0.11224,0.06344,-0.01464,-0.02928,-0.08296,-0.08784,-0.0732,-0.08784
0.01464,0.04392,-0.10248,-0.1098,-0.11712,0.06588,-0.00976,-0.02928,-0.08296,-0.08784,-0.06832,-0.08784
0.01952,0.04148,-0.10248,-0.11224,-0.122,0.07076,-0.00976,-0.02928,-0.07808,-0.08296,-0.06832,-0.08784
0.01952,0.03904,-0.0976,-0.10736,-0.11712,0.06832,-0.00976,-0.0244,-0.0732,-0.08296,-0.06832,-0.08784
0.01952,0.0366,-0.09272,-0.10248,-0.11224,0.06588,-0.00976,-0.01952,-0.0732,-0.07808,-0.06832,-0.08296
0.0244,0.03172,-0.08784,-0.10004,-0.11224,0.06832,-0.00488,-0.01952,-0.0732,-0.07808,-0.0732,-0.08296
0.0244,0.02928,-0.08296,-0.09516,-0.10736,0.06588,-0.00488,-0.01464,-0.06832,-0.0732,-0.0732,-0.08296
0.0244,0.02928,-0.08296,-0.09516,-0.10736,0.06588,-0.00488,-0.00976,-0.06832,-0.0732,-0.0732,-0.08296
0.0244,0.02928,-0.08296,-0.09516,-0.10736,0.06588,0,-0.00488,-0.06344,-0.0732,-0.0732,-0.08296
0.02928,0.0244,-0.07808,-0.09272,-0.10736,0.06832,0.00488,-0.00488,-0.06344,-0.06832,-0.06832,-0.08296
0.02928,0.02196,-0.0732,-0.08784,-0.10248,0.06588,0.00976,0.00488,-0.05368,-0.06832,-0.06832,-0.07808
0.03416,0.01952,-0.0732,-0.09028,-0.10736,0.07076,0.01464,0.00976,-0.0488,-0.06344,-0.06832,-0.0732
0.03416,0.01708,-0.06832,-0.0854,-0.10248,0.06832,0.01464,0.01464,-0.0488,-0.05856,-0.06832,-0.0732
0.03416,0.01708,-0.06832,-0.0854,-0.10248,0.06832,0.01464,0.0244,-0.03904,-0.05368,-0.05368,-0.06832
0.02928,0.01952,-0.06832,-0.08296,-0.0976,0.06344,0.01464,0.0244,-0.03904,-0.0488,-0.0488,-0.06832
0.03416,0.01464,-0.06344,-0.08052,-0.0976,0.06588,0.01464,0.02928,-0.02928,-0.0488,-0.04392,-0.06832
0.03416,0.01464,-0.06344,-0.08052,-0.0976,0.06588,0.01952,0.03416,-0.01952,-0.03904,-0.03904,-0.06344
0.03904,0.00976,-0.05856,-0.07808,-0.0976,0.06832,0.0244,0.04392,-0.01464,-0.02928,-0.03904,-0.05856
0.0488,0.00488,-0.05856,-0.08296,-0.10736,0.07808,0.02928,0.05368,-0.00976,-0.02928,-0.03416,-0.05856
0.05368,-0.00244,-0.0488,-0.07564,-0.10248,0.07808,0.02928,0.05856,0,-0.0244,-0.01952,-0.05368
0.05856,-0.00732,-0.04392,-0.0732,-0.10248,0.08052,0.03904,0.0732,0.00976,-0.01464,-0.01464,-0.0488
0.05856,-0.0122,-0.03416,-0.06344,-0.09272,0.07564,0.03904,0.08296,0.01952,-0.00488,0,-0.04392
0.05856,-0.0122,-0.03416,-0.06344,-0.09272,0.07564,0.0488,0.0976,0.02928,0,0.00488,-0.03904
0.06344,-0.01708,-0.02928,-0.061,-0.09272,0.07808,0.05856,0.10736,0.04392,0.00976,0.00976,-0.03904
0.06344,-0.01708,-0.02928,-0.061,-0.09272,0.07808,0.06344,0.122,0.05368,0.01952,0.01952,-0.03904
0.06344,-0.02196,-0.01952,-0.05124,-0.08296,0.0732,0.06832,0.14152,0.06832,0.02928,0.02928,-0.02928
0.0732,-0.03416,-0.00488,-0.04148,-0.07808,0.07564,0.0732,0.15616,0.08296,0.03904,0.02928,-0.0244
0.08296,-0.04392,0.00488,-0.0366,-0.07808,0.08052,0.08784,0.18056,0.10248,0.05368,0.04392,-0.01464
0.09272,-0.05612,0.01952,-0.02684,-0.0732,0.08296,0.0976,0.18544,0.11224,0.06344,0.05368,-0.00976
0.09272,-0.05856,0.0244,-0.02196,-0.06832,0.08052,0.10248,0.20496,0.122,0.0732,0.05368,-0.00488
0.0976,-0.06588,0.03416,-0.01464,-0.06344,0.08052,0.11224,0.22448,0.1464,0.08296,0.06344,0.00976
0.10736,-0.0732,0.03904,-0.01464,-0.06832,0.08784,0.122,0.23912,0.16104,0.0976,0.06832,0.01464
0.10248,-0.07076,0.03904,-0.0122,-0.06344,0.08296,0.13176,0.25376,0.17568,0.11224,0.0732,0.0244
0.11224,-0.0854,0.05856,0.00244,-0.05368,0.08296,0.13664,0.28304,0.19032,0.122,0.08296,0.02928
0.122,-0.0976,0.0732,0.0122,-0.0488,0.0854,0.14152,0.29768,0.20984,0.12688,0.08784,0.03904
0.13664,-0.1098,0.08296,0.01464,-0.05368,0.09516,0.15128,0.30744,0.2196,0.14152,0.09272,0.0488
0.14152,-0.11712,0.09272,0.02196,-0.0488,0.09516,0.15616,0.3172,0.22936,0.15616,0.10248,0.05368
0.1464,-0.122,0.0976,0.0244,-0.0488,0.0976,0.16592,0.32696,0.244,0.16592,0.10248,0.06344
0.15128,-0.13176,0.11224,0.0366,-0.03904,0.09516,0.1708,0.3416,0.25376,0.1708,0.10736,0.06832
0.15616,-0.14152,0.12688,0.0488,-0.02928,0.09272,0.18056,0.35624,0.26352,0.18056,0.11712,0.07808
0.16104,-0.14884,0.13664,0.05612,-0.0244,0.09272,0.19032,0.366,0.27816,0.18544,0.122,0.09272
0.1708,-0.15616,0.14152,0.05612,-0.02928,0.10004,0.19032,0.37576,0.28304,0.19032,0.12688,0.09272
0.18056,-0.16592,0.15128,0.061,-0.02928,0.10492,0.1952,0.38064,0.28304,0.1952,0.12688,0.0976
0.18056,-0.16836,0.15616,0.06588,-0.0244,0.10248,0.1952,0.38064,0.28792,0.1952,0.12688,0.0976
0.18056,-0.1708,0.16104,0.07076,-0.01952,0.10004,0.19032,0.37576,0.28792,0.20008,0.12688,0.10248
0.18544,-0.17568,0.16592,0.0732,-0.01952,0.10248,0.18544,0.366,0.2928,0.20008,0.13176,0.10248
0.19032,-0.18056,0.1708,0.07564,-0.01952,0.10492,0.1708,0.34648,0.28304,0.1952,0.13176,0.10736
0.18056,-0.17568,0.1708,0.08052,-0.00976,0.09516,0.16104,0.33184,0.27816,0.20496,0.13664,0.11224
0.17568,-0.17324,0.1708,0.08296,-0.00488,0.09028,0.15128,0.31232,0.26352,0.20008,0.13664,0.10736
0.16592,-0.16592,0.16592,0.08296,0,0.08296,0.13664,0.2928,0.24888,0.19032,0.12688,0.10248
0.15616,-0.15372,0.15128,0.0732,-0.00488,0.08052,0.12688,0.2684,0.22936,0.18056,0.122,0.09272
0.15128,-0.14152,0.13176,0.05612,-0.01952,0.0854,0.10248,0.23424,0.20496,0.16592,0.11224,0.08296
0.1464,-0.12688,0.10736,0.03416,-0.03904,0.09272,0.08296,0.20984,0.18056,0.15128,0.0976,0.06832
0.14152,-0.122,0.10248,0.03172,-0.03904,0.09028,0.06832,0.17568,0.15616,0.13176,0.08784,0.05856
0.13176,-0.11468,0.0976,0.03172,-0.03416,0.08296,0.05856,0.15128,0.14152,0.122,0.08296,0.0488
0.12688,-0.10492,0.08296,0.01952,-0.04392,0.0854,0.04392,0.11712,0.11712,0.10248,0.06832,0.03416
0.11224,-0.08784,0.06344,0.00732,-0.0488,0.08052,0.03416,0.0976,0.08784,0.08296,0.05368,0.0244
0.09272,-0.06832,0.04392,-0.00244,-0.0488,0.07076,0.0244,0.07808,0.06832,0.06344,0.04392,0.01464
0.08296,-0.05612,0.02928,-0.0122,-0.05368,0.06832,0.01464,0.05856,0.05856,0.0488,0.03416,0.00488
0.07808,-0.0488,0.01952,-0.01952,-0.05856,0.06832,0.00976,0.0488,0.03416,0.03904,0.01952,-0.00976
0.0732,-0.04392,0.01464,-0.02196,-0.05856,0.06588,0.00488,0.03904,0.01952,0.02928,0.01464,-0.01464
0.0732,-0.03416,-0.00488,-0.04148,-0.07808,0.07564,-0.00488,0.01952,0.00976,0.01952,0.00976,-0.01464
0.0732,-0.02928,-0.01464,-0.05124,-0.08784,0.08052,-0.01464,0.00488,0.00488,0.00976,0.00976,-0.01952
0.06344,-0.0244,-0.01464,-0.04636,-0.07808,0.07076,-0.01464,0,-0.00488,0,0.00488,-0.0244
0.05368,-0.0122,-0.02928,-0.05612,-0.08296,0.06832,-0.01952,0,-0.00976,-0.00976,-0.00488,-0.02928
0.05368,-0.01464,-0.0244,-0.05124,-0.07808,0.06588,-0.0244,0,-0.01464,-0.00976,-0.00976,-0.02928
0.05856,-0.01952,-0.01952,-0.0488,-0.07808,0.06832,-0.0244,-0.00488,-0.01464,-0.00976,-0.00976,-0.03416
0.05856,-0.01952,-0.01952,-0.0488,-0.07808,0.06832,-0.01952,-0.00488,-0.01464,-0.00976,-0.00976,-0.03416
0.05856,-0.01952,-0.01952,-0.0488,-0.07808,0.06832,-0.01952,-0.00488,-0.01464,-0.01464,-0.00976,-0.03416
0.05856,-0.01952,-0.01952,-0.0488,-0.07808,0.06832,-0.0244,-0.00976,-0.01464,-0.01464,-0.01952,-0.03904
0.05368,-0.01464,-0.0244,-0.05124,-0.07808,0.06588,-0.0244,-0.00976,-0.01952,-0.01464,-0.0244,-0.04392
0.05368,-0.01464,-0.0244,-0.05124,-0.07808,0.06588,-0.0244,-0.00976,-0.01952,-0.01464,-0.0244,-0.04392
0.05368,-0.01464,-0.0244,-0.05124,-0.07808,0.06588,-0.0244,-0.00976,-0.01952,-0.00976,-0.01952,-0.04392
0.05368,-0.01464,-0.0244,-0.05124,-0.07808,0.06588,-0.0244,-0.00976,-0.01952,-0.00976,-0.01952,-0.03904
0.05368,-0.01464,-0.0244,-0.05124,-0.07808,0.06588,-0.0244,-0.00976,-0.01464,-0.00976,-0.0244,-0.03416
0.05368,-0.01464,-0.0244,-0.05124,-0.07808,0.06588,-0.0244,-0.00976,-0.01464,-0.00976,-0.0244,-0.03416
0.05368,-0.01464,-0.0244,-0.05124,-0.07808,0.06588,-0.0244,-0.00976,-0.01464,-0.00976,-0.0244,-0.03416
0.05368,-0.01708,-0.01952,-0.04636,-0.0732,0.06344,-0.0244,-0.00976,-0.01464,-0.00976,-0.0244,-0.02928
0.05368,-0.01708,-0.01952,-0.04636,-0.0732,0.06344,-0.01952,-0.00976,-0.01464,-0.00976,-0.0244,-0.02928
0.05856,-0.01952,-0.01952,-0.0488,-0.07808,0.06832,-0.01952,-0.00488,-0.01464,-0.00488,-0.01952,-0.03416
0.06344,-0.02196,-0.01952,-0.05124,-0.08296,0.0732,-0.01952,-0.00488,-0.01464,-0.00488,-0.01464,-0.03904
0.05368,-0.01708,-0.01952,-0.04636,-0.0732,0.06344,-0.01952,-0.00488,-0.01464,-0.00488,-0.01464,-0.03904
0.05368,-0.01708,-0.01952,-0.04636,-0.0732,0.06344,-0.01952,-0.00488,-0.01464,-0.00488,-0.01464,-0.03904
0.05368,-0.01708,-0.01952,-0.04636,-0.0732,0.06344,-0.0244,0,-0.01464,-0.00488,-0.01464,-0.03416
0.0488,-0.01464,-0.01952,-0.04392,-0.06832,0.05856,-0.02928,0,-0.01464,-0.00488,-0.00976,-0.02928
0.0488,-0.01464,-0.01952,-0.04392,-0.06832,0.05856,-0.0244,0,-0.01464,-0.00488,-0.00976,-0.02928
0.05368,-0.01708,-0.01952,-0.04636,-0.0732,0.06344,-0.0244,0,-0.01464,-0.00488,-0.00976,-0.02928
0.05368,-0.01708,-0.01952,-0.04636,-0.0732,0.06344,-0.01952,0,-0.01464,-0.00976,-0.00976,-0.03416
0.05368,-0.01708,-0.01952,-0.04636,-0.0732,0.06344,-0.01464,0,-0.01464,-0.00976,-0.00976,-0.03904
0.0488,-0.01708,-0.01464,-0.03904,-0.06344,0.05612,-0.01464,0,-0.01952,-0.00976,-0.01464,-0.03904
0.0488,-0.01952,-0.00976,-0.03416,-0.05856,0.05368,-0.01464,0,-0.0244,-0.00976,-0.01952,-0.03904
0.0488,-0.01952,-0.00976,-0.03416,-0.05856,0.05368,-0.01464,0,-0.0244,-0.00976,-0.01952,-0.03904
0.0488,-0.01952,-0.00976,-0.03416,-0.05856,0.05368,-0.01464,0,-0.0244,-0.00976,-0.01952,-0.03416
0.0488,-0.01952,-0.00976,-0.03416,-0.05856,0.05368,-0.01464,0,-0.0244,-0.00976,-0.01464,-0.03416
0.0488,-0.01952,-0.00976,-0.03416,-0.05856,0.05368,-0.01464,0,-0.02928,-0.01464,-0.01464,-0.03416
0.0488,-0.01952,-0.00976,-0.03416,-0.05856,0.05368,-0.01464,-0.00488,-0.02928,-0.01464,-0.0244,-0.03416
0.0488,-0.01952,-0.00976,-0.03416,-0.05856,0.05368,-0.01464,-0.00488,-0.02928,-0.01464,-0.0244,-0.03416
0.0488,-0.01708,-0.01464,-0.03904,-0.06344,0.05612,-0.01952,-0.00488,-0.02928,-0.01952,-0.02928,-0.03904
0.03904,-0.0122,-0.01464,-0.03416,-0.05368,0.04636,-0.01952,-0.00488,-0.02928,-0.01952,-0.02928,-0.03904
0.03904,-0.00976,-0.01952,-0.03904,-0.05856,0.0488,-0.01952,-0.00976,-0.02928,-0.01952,-0.03416,-0.03904
0.04392,-0.00976,-0.0244,-0.04636,-0.06832,0.05612,-0.01952,-0.01464,-0.03416,-0.01952,-0.04392,-0.03904
0.04392,-0.00976,-0.0244,-0.04636,-0.06832,0.05612,-0.01952,-0.01952,-0.03416,-0.01952,-0.0488,-0.03904
0.04392,-0.00976,-0.0244,-0.04636,-0.06832,0.05612,-0.01952,-0.01952,-0.03904,-0.01952,-0.0488,-0.03904
0.04392,-0.0122,-0.01952,-0.04148,-0.06344,0.05368,-0.01952,-0.01952,-0.03904,-0.02928,-0.0488,-0.03904
0.04392,-0.0122,-0.01952,-0.04148,-0.06344,0.05368,-0.01952,-0.01952,-0.03904,-0.02928,-0.0488,-0.03904
0.04392,-0.0122,-0.01952,-0.04148,-0.06344,0.05368,-0.01952,-0.0244,-0.03904,-0.02928,-0.0488,-0.03904
0.04392,-0.0122,-0.01952,-0.04148,-0.06344,0.05368,-0.01952,-0.0244,-0.04392,-0.02928,-0.0488,-0.04392
0.04392,-0.0122,-0.01952,-0.04148,-0.06344,0.05368,-0.0244,-0.02928,-0.04392,-0.03416,-0.05368,-0.0488
0.04392,-0.0122,-0.01952,-0.04148,-0.06344,0.05368,-0.0244,-0.02928,-0.04392,-0.03416,-0.05368,-0.05368
0.04392,-0.0122,-0.01952,-0.04148,-0.06344,0.05368,-0.02928,-0.02928,-0.0488,-0.03416,-0.05368,-0.05368
0.03904,-0.00976,-0.01952,-0.03904,-0.05856,0.0488,-0.03416,-0.02928,-0.05368,-0.03416,-0.05368,-0.05368
0.03904,-0.00976,-0.01952,-0.03904,-0.05856,0.0488,-0.03416,-0.03904,-0.05368,-0.03416,-0.05368,-0.05856
0.03904,-0.00732,-0.0244,-0.04392,-0.06344,0.05124,-0.03904,-0.04392,-0.05856,-0.04392,-0.05368,-0.06344
0.03904,-0.00732,-0.0244,-0.04392,-0.06344,0.05124,-0.03904,-0.04392,-0.05856,-0.04392,-0.05368,-0.06344
0.03904,-0.00732,-0.0244,-0.04392,-0.06344,0.05124,-0.03904,-0.03904,-0.05368,-0.03904,-0.0488,-0.05856
0.03904,-0.00732,-0.0244,-0.04392,-0.06344,0.05124,-0.03904,-0.03904,-0.05368,-0.03904,-0.0488,-0.05856
0.03904,-0.00732,-0.0244,-0.04392,-0.06344,0.05124,-0.03904,-0.04392,-0.05368,-0.03904,-0.05368,-0.05856
0.03904,-0.00732,-0.0244,-0.04392,-0.06344,0.05124,-0.03904,-0.04392,-0.05368,-0.03904,-0.05368,-0.05856
0.03904,-0.00732,-0.0244,-0.04392,-0.06344,0.05124,-0.03904,-0.04392,-0.06344,-0.0488,-0.05368,-0.06344
0.03904,-0.00488,-0.02928,-0.0488,-0.06832,0.05368,-0.03904,-0.04392,-0.06344,-0.0488,-0.05368,-0.06344
0.03904,-0.00488,-0.02928,-0.0488,-0.06832,0.05368,-0.03904,-0.04392,-0.06344,-0.0488,-0.05368,-0.06344
0.03416,-0.00244,-0.02928,-0.04636,-0.06344,0.0488,-0.04392,-0.04392,-0.06344,-0.0488,-0.05368,-0.05856
0.03416,-0.00244,-0.02928,-0.04636,-0.06344,0.0488,-0.04392,-0.0488,-0.06344,-0.0488,-0.05368,-0.05856
0.03416,-0.00488,-0.0244,-0.04148,-0.05856,0.04636,-0.04392,-0.0488,-0.06832,-0.0488,-0.05368,-0.05856
0.03416,-0.00732,-0.01952,-0.0366,-0.05368,0.04392,-0.04392,-0.0488,-0.0732,-0.0488,-0.0488,-0.06344
0.03416,-0.00732,-0.01952,-0.0366,-0.05368,0.04392,-0.04392,-0.0488,-0.0732,-0.0488,-0.0488,-0.06344
0.03416,-0.00244,-0.02928,-0.04636,-0.06344,0.0488,-0.0488,-0.05368,-0.0732,-0.05368,-0.05368,-0.06344
0.03416,-0.00244,-0.02928,-0.04636,-0.06344,0.0488,-0.0488,-0.05368,-0.07808,-0.05368,-0.05856,-0.06344
0.03416,-0.00488,-0.0244,-0.04148,-0.05856,0.04636,-0.0488,-0.05856,-0.07808,-0.0488,-0.05856,-0.06832
0.03416,-0.00488,-0.0244,-0.04148,-0.05856,0.04636,-0.0488,-0.05856,-0.07808,-0.0488,-0.05856,-0.0732
0.03416,-0.00488,-0.0244,-0.04148,-0.05856,0.04636,-0.0488,-0.05856,-0.0732,-0.05368,-0.05856,-0.0732
0.03416,-0.00488,-0.0244,-0.04148,-0.05856,0.04636,-0.0488,-0.05856,-0.0732,-0.05368,-0.06344,-0.0732
0.03416,-0.00732,-0.01952,-0.0366,-0.05368,0.04392,-0.0488,-0.05856,-0.0732,-0.05368,-0.06344,-0.0732
0.03416,-0.00976,-0.01464,-0.03172,-0.0488,0.04148,-0.0488,-0.05856,-0.07808,-0.05368,-0.06344,-0.0732
0.03416,-0.0122,-0.00976,-0.02684,-0.04392,0.03904,-0.0488,-0.05856,-0.07808,-0.05368,-0.06344,-0.0732
