i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.00976,0.03904,-0.06832,-0.06344,-0.05856,0.0244,0.0488,-0.0488,-0.02928,-0.01952,-0.02928,-0.06832
-0.01952,0.0488,-0.07808,-0.06832,-0.05856,0.01952,0.0488,-0.0488,-0.02928,-0.01952,-0.0244,-0.05368
-0.01952,0.04636,-0.0732,-0.06344,-0.05368,0.01708,0.0488,-0.0488,-0.02928,-0.01952,-0.0244,-0.05856
-0.00976,0.0366,-0.06344,-0.05856,-0.05368,0.02196,0.0488,-0.0488,-0.03904,-0.01464,-0.02928,-0.04392
-0.00976,0.0366,-0.06344,-0.05856,-0.05368,0.02196,0.0488,-0.04392,-0.03416,-0.01464,-0.0244,-0.04392
-0.00488,0.04148,-0.07808,-0.07564,-0.0732,0.03416,0.03904,-0.05368,-0.03416,-0.01464,-0.01952,-0.04392
0,0.03904,-0.07808,-0.07808,-0.07808,0.03904,0.03416,-0.05368,-0.02928,-0.00976,-0.01952,-0.04392
0.00488,0.02928,-0.06344,-0.06588,-0.06832,0.0366,0.01952,-0.05368,-0.01952,-0.00976,-0.01464,-0.05368
0.00488,0.02928,-0.06344,-0.06588,-0.06832,0.0366,0.0244,-0.0488,-0.01952,-0.00488,-0.01464,-0.0488
0,0.02928,-0.05856,-0.05856,-0.05856,0.02928,0.03416,-0.03904,-0.01464,-0.00488,-0.00976,-0.03904
0,0.02928,-0.05856,-0.05856,-0.05856,0.02928,0.03904,-0.02928,-0.00488,0.00488,-0.00488,-0.03416
-0.00488,0.03172,-0.05856,-0.05612,-0.05368,0.0244,0.03904,-0.0244,-0.01464,0.00488,0,-0.03416
-0.00488,0.02928,-0.05368,-0.05124,-0.0488,0.02196,0.03416,-0.01952,0,0.01464,0.00976,-0.02928
0.01464,0.01952,-0.05368,-0.061,-0.06832,0.04148,0.03904,-0.01952,0.00488,0.02928,0,-0.0244
0.01464,0.01464,-0.04392,-0.05124,-0.05856,0.0366,0.03904,-0.01464,0.00488,0.02928,0.00488,-0.03416
0.0244,0.00488,-0.03416,-0.04636,-0.05856,0.04148,0.03904,0.00488,0.00976,0.02928,0.0244,-0.0244
0.03904,-0.00244,-0.03416,-0.05368,-0.0732,0.05612,0.03904,0.00976,0.01464,0.02928,0.0244,-0.0244
0.03904,-0.00732,-0.0244,-0.04392,-0.06344,0.05124,0.03416,0.00976,0.0244,0.04392,0.02928,-0.00488
0.04392,-0.0122,-0.01952,-0.04148,-0.06344,0.05368,0.03416,0.02928,0.02928,0.0488,0.04392,0
0.04392,-0.01952,-0.00488,-0.02684,-0.0488,0.04636,0.02928,0.03416,0.03904,0.06344,0.05368,0
0.05368,-0.02928,0.00488,-0.02196,-0.0488,0.05124,0.02928,0.0488,0.05856,0.08784,0.0732,0.00488
0.06832,-0.03904,0.00976,-0.0244,-0.05856,0.06344,0.0244,0.0732,0.07808,0.11224,0.0976,0.01952
0.06832,-0.04636,0.0244,-0.00976,-0.04392,0.05612,0.0244,0.0976,0.09272,0.11712,0.10736,0.02928
0.0732,-0.05368,0.03416,-0.00244,-0.03904,0.05612,0.01464,0.0976,0.10248,0.13664,0.13176,0.04392
0.08784,-0.06588,0.04392,0,-0.04392,0.06588,0.00976,0.11224,0.122,0.15616,0.1464,0.05856
0.11224,-0.0854,0.05856,0.00244,-0.05368,0.08296,0,0.11712,0.1464,0.18056,0.1708,0.06832
0.12688,-0.0976,0.06832,0.00488,-0.05856,0.09272,-0.00488,0.12688,0.16592,0.20496,0.19032,0.07808
0.122,-0.10248,0.08296,0.02196,-0.03904,0.08052,-0.00976,0.15128,0.1708,0.22448,0.20008,0.09272
0.13176,-0.11712,0.10248,0.0366,-0.02928,0.08052,-0.00976,0.16104,0.19032,0.22936,0.2196,0.12688
0.14152,-0.122,0.10248,0.03172,-0.03904,0.09028,-0.00488,0.15616,0.20496,0.25376,0.23424,0.13664
0.15128,-0.12688,0.10248,0.02684,-0.0488,0.10004,-0.00976,0.16104,0.20984,0.2684,0.24888,0.1464
0.16104,-0.13908,0.11712,0.0366,-0.04392,0.10248,-0.01464,0.15616,0.21472,0.28304,0.25376,0.15616
0.16592,-0.14396,0.122,0.03904,-0.04392,0.10492,-0.02928,0.15616,0.21472,0.2928,0.26352,0.16104
0.17568,-0.15372,0.13176,0.04392,-0.04392,0.1098,-0.02928,0.14152,0.2196,0.28792,0.25864,0.16104
0.18056,-0.16104,0.14152,0.05124,-0.03904,0.1098,-0.02928,0.14152,0.23424,0.28304,0.25864,0.16592
0.16592,-0.15128,0.13664,0.05368,-0.02928,0.0976,-0.0244,0.1464,0.21472,0.27816,0.25864,0.16592
0.15616,-0.14152,0.12688,0.0488,-0.02928,0.09272,-0.01952,0.14152,0.20496,0.2684,0.25864,0.16592
0.14152,-0.13176,0.122,0.05124,-0.01952,0.08052,-0.0244,0.122,0.20008,0.244,0.23424,0.1464
0.13176,-0.12444,0.11712,0.05124,-0.01464,0.0732,-0.0244,0.10248,0.18056,0.23424,0.2196,0.13664
0.122,-0.1098,0.0976,0.0366,-0.0244,0.0732,-0.0244,0.09272,0.15616,0.2196,0.20984,0.13176
0.10248,-0.09516,0.08784,0.0366,-0.01464,0.05856,-0.01464,0.0732,0.13664,0.20496,0.19032,0.10736
0.09272,-0.08784,0.08296,0.0366,-0.00976,0.05124,-0.00488,0.06832,0.12688,0.1708,0.16104,0.08784
0.08784,-0.0732,0.05856,0.01464,-0.02928,0.05856,-0.00488,0.06344,0.10736,0.1464,0.13664,0.06832
0.06832,-0.061,0.05368,0.01952,-0.01464,0.04148,0,0.03416,0.06344,0.11224,0.10248,0.05368
0.05856,-0.0488,0.03904,0.00976,-0.01952,0.03904,0.01464,0.02928,0.0488,0.08784,0.07808,0.01952
0.0488,-0.03416,0.01952,-0.00488,-0.02928,0.03904,0.01952,0.01464,0.04392,0.08296,0.05368,0.00976
0.02928,-0.01464,0,-0.01464,-0.02928,0.02928,0.02928,0,0.02928,0.06344,0.04392,-0.00488
0.0244,-0.0122,0,-0.0122,-0.0244,0.0244,0.01952,-0.00488,0.00488,0.03904,0.02928,-0.01952
0.00488,0.00244,-0.00976,-0.0122,-0.01464,0.00976,0.02928,-0.01464,-0.00976,0.01952,0.01464,-0.02928
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,0.03416,-0.01464,-0.01952,0.00976,0.00488,-0.02928
-0.01952,0.03172,-0.04392,-0.03416,-0.0244,0.00244,0.0488,-0.01464,-0.01952,0.00976,0,-0.03904
-0.01464,0.02928,-0.04392,-0.0366,-0.02928,0.00732,0.04392,-0.01952,-0.02928,-0.00976,-0.01464,-0.0488
-0.0244,0.03172,-0.03904,-0.02684,-0.01464,-0.00488,0.03416,-0.02928,-0.03904,-0.03416,-0.03904,-0.05368
-0.01952,0.03172,-0.04392,-0.03416,-0.0244,0.00244,0.02928,-0.04392,-0.0488,-0.03904,-0.0488,-0.06344
-0.01952,0.03172,-0.04392,-0.03416,-0.0244,0.00244,0.02928,-0.04392,-0.05368,-0.04392,-0.05368,-0.0732
-0.01952,0.03172,-0.04392,-0.03416,-0.0244,0.00244,0.03904,-0.0488,-0.05856,-0.0488,-0.06832,-0.08296
-0.01464,0.03172,-0.0488,-0.04148,-0.03416,0.00976,0.03904,-0.05368,-0.05856,-0.0488,-0.06832,-0.08296
-0.0244,0.04148,-0.05856,-0.04636,-0.03416,0.00488,0.03904,-0.05368,-0.06344,-0.04392,-0.05856,-0.08296
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,0.03904,-0.05856,-0.06344,-0.04392,-0.06832,-0.08784
-0.02928,0.04148,-0.05368,-0.03904,-0.0244,-0.00244,0.0488,-0.0488,-0.05856,-0.04392,-0.06344,-0.08296
-0.02928,0.04148,-0.05368,-0.03904,-0.0244,-0.00244,0.0488,-0.0488,-0.05856,-0.0488,-0.05856,-0.08296
-0.02928,0.04636,-0.06344,-0.0488,-0.03416,0.00244,0.0488,-0.0488,-0.05856,-0.05368,-0.05856,-0.08296
-0.02928,0.04636,-0.06344,-0.0488,-0.03416,0.00244,0.0488,-0.05368,-0.06344,-0.05856,-0.06344,-0.08784
-0.03416,0.0488,-0.06344,-0.04636,-0.02928,-0.00244,0.04392,-0.0488,-0.0732,-0.0732,-0.0732,-0.08784
-0.04392,0.04636,-0.0488,-0.02684,-0.00488,-0.01952,0.04392,-0.0488,-0.0732,-0.0732,-0.0732,-0.08784
-0.0488,0.04636,-0.04392,-0.01952,0.00488,-0.02684,0.04392,-0.0488,-0.06344,-0.06344,-0.06832,-0.08784
-0.0488,0.05124,-0.05368,-0.02928,-0.00488,-0.02196,0.04392,-0.04392,-0.06344,-0.06344,-0.06832,-0.08784
-0.03904,0.05124,-0.06344,-0.04392,-0.0244,-0.00732,0.03416,-0.04392,-0.05368,-0.06344,-0.06832,-0.08784
-0.03904,0.05124,-0.06344,-0.04392,-0.0244,-0.00732,0.03416,-0.04392,-0.05856,-0.05856,-0.06832,-0.08296
-0.03416,0.0488,-0.06344,-0.04636,-0.02928,-0.00244,0.03416,-0.03904,-0.05856,-0.0488,-0.06344,-0.07808
-0.03416,0.0488,-0.06344,-0.04636,-0.02928,-0.00244,0.0244,-0.03904,-0.05856,-0.04392,-0.05368,-0.07808
-0.0244,0.04148,-0.05856,-0.04636,-0.03416,0.00488,0.01464,-0.03904,-0.0488,-0.03904,-0.0488,-0.07808
-0.01464,0.0366,-0.05856,-0.05124,-0.04392,0.01464,0.01464,-0.03904,-0.03904,-0.03904,-0.04392,-0.07808
-0.00488,0.03172,-0.05856,-0.05612,-0.05368,0.0244,0.01464,-0.03904,-0.04392,-0.03904,-0.04392,-0.06832
0,0.02684,-0.05368,-0.05368,-0.05368,0.02684,0.00976,-0.03904,-0.03904,-0.03416,-0.03904,-0.06832
-0.00976,0.03416,-0.05856,-0.05368,-0.0488,0.01952,0.01952,-0.03904,-0.03904,-0.02928,-0.0244,-0.05856
-0.00976,0.03416,-0.05856,-0.05368,-0.0488,0.01952,0.0244,-0.03904,-0.03416,-0.02928,-0.01952,-0.05368
-0.01464,0.03416,-0.05368,-0.04636,-0.03904,0.0122,0.0244,-0.03416,-0.03904,-0.03416,-0.0244,-0.05368
-0.01464,0.02684,-0.03904,-0.03172,-0.0244,0.00488,0.0244,-0.02928,-0.03416,-0.02928,-0.01952,-0.04392
-0.00488,0.01708,-0.02928,-0.02684,-0.0244,0.00976,0.01464,-0.03416,-0.03416,-0.01952,-0.01952,-0.0488
0.00488,0.0122,-0.02928,-0.03172,-0.03416,0.01952,0.01464,-0.03416,-0.03416,-0.01464,-0.01952,-0.0488
0,0.01708,-0.03416,-0.03416,-0.03416,0.01708,0.0244,-0.03416,-0.0244,-0.00976,-0.00488,-0.03416
0.00488,0.01464,-0.03416,-0.0366,-0.03904,0.02196,0.02928,-0.02928,-0.01952,-0.00488,-0.00488,-0.03416
0,0.01708,-0.03416,-0.03416,-0.03416,0.01708,0.02928,-0.01952,-0.01952,-0.00488,-0.00976,-0.02928
0.00488,0.0122,-0.02928,-0.03172,-0.03416,0.01952,0.0244,-0.0244,-0.01952,0,-0.00976,-0.02928
0.00976,0.00488,-0.01952,-0.0244,-0.02928,0.01952,0.01464,-0.03416,-0.02928,0,-0.00488,-0.0244
0.00976,0.00488,-0.01952,-0.0244,-0.02928,0.01952,0.01464,-0.03416,-0.02928,0,0,-0.0244
0.01952,0.00488,-0.02928,-0.03904,-0.0488,0.03416,0.0244,-0.03416,-0.02928,-0.00488,0,-0.03904
0.01464,0.00488,-0.0244,-0.03172,-0.03904,0.02684,0.0244,-0.03416,-0.0244,-0.00488,0,-0.03904
0,0.0122,-0.0244,-0.0244,-0.0244,0.0122,0.02928,-0.03416,-0.0244,-0.01464,-0.01464,-0.0488
0.00488,0.00976,-0.0244,-0.02684,-0.02928,0.01708,0.02928,-0.03416,-0.0244,-0.01952,-0.01464,-0.0488
0.00976,0.00244,-0.01464,-0.01952,-0.0244,0.01708,0.01952,-0.02928,-0.0244,-0.00488,-0.00976,-0.03416
0.01464,0,-0.01464,-0.02196,-0.02928,0.02196,0.00976,-0.03416,-0.02928,-0.00488,-0.00976,-0.02928
0.0244,-0.00488,-0.01464,-0.02684,-0.03904,0.03172,0.00976,-0.03904,-0.02928,0.00488,-0.00488,-0.0244
0.01464,0,-0.01464,-0.02196,-0.02928,0.02196,0.01464,-0.03904,-0.02928,0,0,-0.0244
0.00488,0.00976,-0.0244,-0.02684,-0.02928,0.01708,0.0244,-0.03904,-0.03416,-0.02928,-0.01952,-0.03904
0,0.01464,-0.02928,-0.02928,-0.02928,0.01464,0.02928,-0.03904,-0.04392,-0.03904,-0.01952,-0.03904
0,0.00976,-0.01952,-0.01952,-0.01952,0.00976,0.02928,-0.04392,-0.0488,-0.02928,-0.02928,-0.03904
0.00488,0.00976,-0.0244,-0.02684,-0.02928,0.01708,0.0244,-0.04392,-0.0488,-0.02928,-0.02928,-0.03904
-0.00976,0.01952,-0.02928,-0.0244,-0.01952,0.00488,0.0244,-0.04392,-0.04392,-0.03416,-0.0244,-0.0488
-0.00976,0.0244,-0.03904,-0.03416,-0.02928,0.00976,0.0244,-0.04392,-0.0488,-0.03416,-0.0244,-0.0488
0,0.01952,-0.03904,-0.03904,-0.03904,0.01952,0.0244,-0.04392,-0.0488,-0.02928,-0.01952,-0.03904
0,0.0244,-0.0488,-0.0488,-0.0488,0.0244,0.0244,-0.0488,-0.05856,-0.03416,-0.01952,-0.04392
0.00976,0.01464,-0.03904,-0.04392,-0.0488,0.02928,0.0244,-0.0488,-0.05368,-0.03416,-0.02928,-0.04392
0.00976,0.01464,-0.03904,-0.04392,-0.0488,0.02928,0.0244,-0.0488,-0.05368,-0.03416,-0.02928,-0.04392
0,0.01952,-0.03904,-0.03904,-0.03904,0.01952,0.0244,-0.03904,-0.04392,-0.03416,-0.02928,-0.05856
-0.00488,0.02196,-0.03904,-0.0366,-0.03416,0.01464,0.0244,-0.04392,-0.05368,-0.03416,-0.04392,-0.05856
0,0.01952,-0.03904,-0.03904,-0.03904,0.01952,0.01464,-0.05368,-0.06344,-0.03416,-0.0488,-0.05368
0,0.02196,-0.04392,-0.04392,-0.04392,0.02196,0.01464,-0.0488,-0.06344,-0.03416,-0.04392,-0.05368
-0.00976,0.02684,-0.04392,-0.03904,-0.03416,0.0122,0.0244,-0.0488,-0.0488,-0.03416,-0.02928,-0.04392
0,0.02196,-0.04392,-0.04392,-0.04392,0.02196,0.0244,-0.0488,-0.0488,-0.03416,-0.03416,-0.04392
0.00488,0.02196,-0.0488,-0.05124,-0.05368,0.02928,0.01952,-0.0488,-0.05368,-0.0488,-0.04392,-0.0488
-0.00488,0.02928,-0.05368,-0.05124,-0.0488,0.02196,0.01464,-0.05368,-0.05368,-0.05856,-0.04392,-0.05856
-0.00488,0.02684,-0.0488,-0.04636,-0.04392,0.01952,0.01464,-0.04392,-0.06344,-0.0488,-0.03416,-0.0488
0,0.01952,-0.03904,-0.03904,-0.03904,0.01952,0.01952,-0.0488,-0.06344,-0.0488,-0.03416,-0.05368
0,0.02196,-0.04392,-0.04392,-0.04392,0.02196,0.01464,-0.0488,-0.06832,-0.04392,-0.04392,-0.05856
0.00488,0.01952,-0.04392,-0.04636,-0.0488,0.02684,0.01464,-0.0488,-0.06832,-0.05368,-0.04392,-0.06344
-0.00488,0.02928,-0.05368,-0.05124,-0.0488,0.02196,0.01952,-0.0488,-0.05856,-0.0488,-0.0488,-0.05368
-0.00488,0.02684,-0.0488,-0.04636,-0.04392,0.01952,0.0244,-0.0488,-0.05856,-0.0488,-0.0488,-0.05368
-0.00488,0.02196,-0.03904,-0.0366,-0.03416,0.01464,0.01464,-0.0488,-0.05856,-0.04392,-0.0488,-0.05368
0,0.01952,-0.03904,-0.03904,-0.03904,0.01952,0.01464,-0.0488,-0.05368,-0.04392,-0.04392,-0.0488
0.00488,0.01464,-0.03416,-0.0366,-0.03904,0.02196,0.02928,-0.0488,-0.0488,-0.03904,-0.04392,-0.05368
0.01952,0.00732,-0.03416,-0.04392,-0.05368,0.0366,0.02928,-0.04392,-0.03904,-0.02928,-0.03904,-0.0488
0.03904,-0.00732,-0.0244,-0.04392,-0.06344,0.05124,0.03416,-0.04392,-0.03416,-0.02928,-0.0244,-0.04392
0.05856,-0.01708,-0.0244,-0.05368,-0.08296,0.07076,0.03416,-0.03416,-0.02928,-0.02928,-0.0244,-0.04392
0.05856,-0.01464,-0.02928,-0.05856,-0.08784,0.0732,0.04392,-0.01952,-0.01952,-0.01952,-0.01464,-0.01952
0.0488,-0.01464,-0.01952,-0.04392,-0.06832,0.05856,0.0488,-0.00976,-0.00976,-0.01464,-0.00976,-0.01952
0.0488,-0.01464,-0.01952,-0.04392,-0.06832,0.05856,0.0488,-0.00976,-0.00976,-0.00488,-0.00976,-0.01952
0.05368,-0.02684,0,-0.02684,-0.05368,0.05368,0.04392,-0.00976,0,0,0.00488,-0.00976
0.06344,-0.03172,0,-0.03172,-0.06344,0.06344,0.03904,0.00488,0.00488,0.00976,0.00976,-0.00976
0.0732,-0.03904,0.00488,-0.03172,-0.06832,0.07076,0.0244,0.00488,0.01464,0.01952,0.00976,0
0.0732,-0.04148,0.00976,-0.02684,-0.06344,0.06832,0.01464,0.00488,0.01464,0.02928,0.00976,0.00488
0.07808,-0.05124,0.0244,-0.01464,-0.05368,0.06588,0.00488,0.00976,0.02928,0.03416,0.0244,0.01464
0.08296,-0.05612,0.02928,-0.0122,-0.05368,0.06832,-0.01464,0,0.0244,0.04392,0.03416,0.01952
0.07808,-0.061,0.04392,0.00488,-0.03416,0.05612,-0.0244,-0.01464,0.01952,0.04392,0.02928,0.01464
0.06832,-0.05368,0.03904,0.00488,-0.02928,0.0488,-0.02928,-0.00976,0.01952,0.03904,0.01952,0.01464
0.05856,-0.0488,0.03904,0.00976,-0.01952,0.03904,-0.03416,-0.01464,-0.00976,0.01464,0.00976,0.00488
0.03904,-0.03416,0.02928,0.00976,-0.00976,0.0244,-0.03416,-0.03904,-0.01464,-0.00488,0,0.00488
0.04392,-0.03172,0.01952,-0.00244,-0.0244,0.03416,-0.04392,-0.05368,-0.04392,-0.01952,-0.00976,-0.01464
0.03904,-0.0244,0.00976,-0.00976,-0.02928,0.03416,-0.03904,-0.05856,-0.05368,-0.02928,-0.01952,-0.0244
0.02928,-0.01464,0,-0.01464,-0.02928,0.02928,-0.02928,-0.06344,-0.06344,-0.02928,-0.0244,-0.0244
0.01952,-0.00732,-0.00488,-0.01464,-0.0244,0.02196,-0.01952,-0.0732,-0.06832,-0.04392,-0.03416,-0.03416
0.01464,-0.00488,-0.00488,-0.0122,-0.01952,0.01708,-0.01464,-0.06344,-0.05856,-0.02928,-0.02928,-0.0244
0.02928,-0.00732,-0.01464,-0.02928,-0.04392,0.0366,-0.00488,-0.05368,-0.05856,-0.0244,-0.02928,-0.0244
0.01952,0.00244,-0.0244,-0.03416,-0.04392,0.03172,0.00488,-0.0488,-0.05368,-0.03416,-0.03416,-0.0244
0.00976,0.0122,-0.03416,-0.03904,-0.04392,0.02684,0.00976,-0.03904,-0.0488,-0.03904,-0.03416,-0.02928
0.00488,0.01708,-0.03904,-0.04148,-0.04392,0.0244,0.00488,-0.05368,-0.06832,-0.0488,-0.0488,-0.04392
0,0.02684,-0.05368,-0.05368,-0.05368,0.02684,0.00488,-0.05368,-0.07808,-0.05368,-0.05856,-0.05368
-0.01952,0.0366,-0.05368,-0.04392,-0.03416,0.00732,0.00488,-0.06832,-0.08784,-0.07808,-0.06832,-0.0732
-0.01952,0.0366,-0.05368,-0.04392,-0.03416,0.00732,0.00488,-0.06344,-0.08784,-0.07808,-0.0732,-0.08784
-0.0244,0.04392,-0.06344,-0.05124,-0.03904,0.00732,0.00976,-0.06832,-0.08784,-0.08784,-0.08296,-0.09272
-0.02928,0.04636,-0.06344,-0.0488,-0.03416,0.00244,0.01464,-0.06344,-0.08784,-0.07808,-0.08784,-0.09272
-0.03904,0.05124,-0.06344,-0.04392,-0.0244,-0.00732,0.00976,-0.05856,-0.09272,-0.0732,-0.08784,-0.08296
-0.03416,0.05124,-0.06832,-0.05124,-0.03416,0,0.01464,-0.05856,-0.09272,-0.0732,-0.08784,-0.08784
-0.02928,0.0488,-0.06832,-0.05368,-0.03904,0.00488,0.0244,-0.05856,-0.08296,-0.07808,-0.07808,-0.08296
-0.02928,0.0488,-0.06832,-0.05368,-0.03904,0.00488,0.0244,-0.05856,-0.07808,-0.07808,-0.07808,-0.08296
-0.01952,0.05124,-0.08296,-0.0732,-0.06344,0.02196,0.01464,-0.05368,-0.07808,-0.08296,-0.08784,-0.08296
-0.01464,0.0488,-0.08296,-0.07564,-0.06832,0.02684,0.01464,-0.06344,-0.07808,-0.08296,-0.08784,-0.08296
-0.00976,0.04148,-0.0732,-0.06832,-0.06344,0.02684,0.00488,-0.06832,-0.07808,-0.0732,-0.08784,-0.08296
-0.00976,0.04148,-0.0732,-0.06832,-0.06344,0.02684,0.00488,-0.06832,-0.07808,-0.0732,-0.08784,-0.08296
-0.01464,0.04148,-0.06832,-0.061,-0.05368,0.01952,0.01464,-0.06832,-0.07808,-0.07808,-0.08296,-0.08296
-0.0244,0.0488,-0.0732,-0.061,-0.0488,0.0122,0.01464,-0.05856,-0.0732,-0.07808,-0.08784,-0.08296
-0.02928,0.05612,-0.08296,-0.06832,-0.05368,0.0122,0.01464,-0.05368,-0.07808,-0.07808,-0.08784,-0.08296
-0.02928,0.05856,-0.08784,-0.0732,-0.05856,0.01464,0.01464,-0.05368,-0.0732,-0.07808,-0.08784,-0.08296
-0.02928,0.05368,-0.07808,-0.06344,-0.0488,0.00976,0.01464,-0.05856,-0.0732,-0.07808,-0.08296,-0.07808
-0.01952,0.0488,-0.07808,-0.06832,-0.05856,0.01952,0.01464,-0.05856,-0.0732,-0.07808,-0.0732,-0.07808
-0.01952,0.05368,-0.08784,-0.07808,-0.06832,0.0244,0.01464,-0.0488,-0.0732,-0.06832,-0.06344,-0.06832
-0.01952,0.05124,-0.08296,-0.0732,-0.06344,0.02196,0.01464,-0.0488,-0.0732,-0.0732,-0.06832,-0.06832
-0.0244,0.0488,-0.0732,-0.061,-0.0488,0.0122,0.01952,-0.03904,-0.0732,-0.07808,-0.07808,-0.0732
-0.0244,0.05124,-0.07808,-0.06588,-0.05368,0.01464,0.01952,-0.03416,-0.0732,-0.0732,-0.07808,-0.0732
